NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
2024 1602,"compresor silencioso, taladro, batería Programa de Investigación Forestal","473,99 €",,OVALLE BOSQUE Y JARDIN SL,,1 día,Suministro,
2024 124,Sesión análisis sensorial Proyecto Servicios Laboratorio Sidras,"200,00 €",,PEDRO RAMAS DIEZ,,1 día,Servicio,
2024 22,22 Toneladas de zahorra,"580,80 €",,"PINABE SOCIEDAD 
COOPERATIVA",,1 día,Suministro,
CONP/2024/2839,"Renovación de la sala de catas para la evaluación sensorial de alimentos en el 
SERIDA de Villaviciosa","17.787,00 €",,PROQUINORTE SA,,2 meses,Obra,
CONP/2024/2854,"Renovación de cocina de preparación de muestras para análisis sensorial del 
SERIDA","10.949,68 €",,PROQUINORTE SA,,2 meses,Obra,
CONP/2024/9892,"Suministro de material y reactivos de cultivos celulares y para realizar técnicas 
histológicas con cargo al Proyecto de Investigación PID2021 12219OR C22","11.570,40 €",,PROQUINORTE SA,,10 días,Suministro,
CONP/2024/12216,Suministro de estacas para cierres en las fincas del SERIDA,"9.630,15 €",,"PROTEC PROTECCIÓN Y 
TECNOLOGÍA DE LA MADERA S.L.",,15 días,Suministro,
CONP/2024/5830,Suministro de ropa de trabajo para personal de nueva incorporación,"5.466,71 €",,PROYMA SL,,45 días,Suministro,
2024 F202401888,Servicio de revisión de caldera HERGON,"191,12 €",,PRYMASTUR SL,,1 día,Servicio,
CONP/2024/12130,"Suministro de equipo informático portátil con cargo al Proyecto Banco de 
Recursos Zoogenéticos","2.443,18 €",,"PYRAMIS, S.L.",,10 días,Suministro,
2024 S2024003347,"Suministro de leche para corderas y cabritos maternizada Proyecto de 
Investigación de Carne","39,90 €",,"RAMON LAGO VALLES, SL",,1 día,Suministro,
2024 S2024003439,"Suministro de piento de aranque de corderos Proyecto de Investigación de 
Carne","18,34 €",,"RAMON LAGO VALLES, SL",,1 día,Suministro,
2024 24160,Suministro de 1 paquete de 20 bolsas estériles de Sartorius de 3L,"886,93 €",,"REM REPRESENTACIONES 
EDUARDO MUÑIZ S.L.",,1 día,Suministro,
2024 24249,Suministro de dos válvulas de inyector Proyecto Demostración Agroforestal,"891,77 €",,"REM REPRESENTACIONES 
EDUARDO MUÑIZ S.L.",,1 día,Suministro,
CONP/2024/11679,Suministro de una bomba de HPLC Binaria,"18.089,50 €",,"REPRESENTACIONES EDUARDO 
MUÑIZ SL",,1 mes,Suministro,
2024 844769325,Resumen copias 01/11/2024 31/01/2025,"7.447,34 €",,RICOH ESPAÑA SLU,,1 día,Servicio,
2024 844792490,Resumen copias 01/05/2024 al 31/10/2024,"1.374,12 €",,RICOH ESPAÑA SLU,,1 día,Servicio,
2024 44524,Servicio reparación pala de pinchos,"127,05 €",,RUFINO DIAZ FERNANDEZ,,1 día,Servicio,
CONP/2024/11877,"Suministro e instalación de un portón de acceso a la finca de la Granja Demo 
Samielles del SERIDA","1.357,00 €",,RUFINO DIAZ FERNANDEZ,,30 días,Suministro,
2024 50724,"pasadores con anilla y un taladro como muestra Programa de Investigación de 
Carne","108,00 €",,RUFINO DIAZ FERNANDEZ,,1 día,Servicio,
2024 2024012,adecuación del terreno de acceso a la cuadra del área de carne,"849,42 €",,SANTIAGO FERNANDEZ CAMPA,,1 día,Servicio,
CONP/2024/12307,Suministro de paja de cebada en la finca de Villanueva del SERIDA,"1.416,80 €",,SEARES S COOP ASTUR,,15 días,Suministro,
2024 1964,"Suministro tres garrafas de spotinor 10 mg para el tratamiento y prevención de 
infecciones de ectoparásitos en bovino y ovino","302,52 €",,SEARES S COOP ASTUR,,1 día,Suministro,
2024 1467,Bolsas pie blanco,"143,99 €",,SEARES S COOP ASTUR,,1 día,Suministro,
CONP/2024/11296,"Suministro de pienso de lactación de ovino caprino en la Finca El carbayal Illano 
del SERIDA con cargo al Programa de Investigación de Carne","4.373,60 €",,SEARES S COOP ASTUR,,15 días,Suministro,
,Suministro de Medicamentos ovejas,"295,21 €",,SEARES S COOP ASTUR,,1 día,Suministro,
CONP/2024/11294,"Suministro de piensos para alimentación de bovinos en la finca de Villanueva del 
SERIDA con cargo al Programa de Investigación de Carne","5.739,80 €",,SEARES S COOP ASTUR,,15 días,Suministro,
2024 72,Servicio de limpieza de ventanas y cristales en el SERIDA Deva,"278,30 €",,"SERVICIOS ACUATICOS Y 
MANTENIMIENTO GIJÓN 2005 
S.L.",,1 día,Servicio,
2024 2024D207530,Envío de muestras de frío Programa Investigación Forestal,"568,29 €",,SEUR GEOPOST SLU,,1 día,Servicio,
2024 2024D230446,Envío de muestras de congeladas Programa Investigación Forestal,"272,40 €",,SEUR GEOPOST SLU,,1 día,Servicio,
2024 2024D277021,Envío de muestras de frío Programa Investigación Forestal,"135,96 €",,SEUR GEOPOST SLU,,1 día,Servicio,
2024 0059,"Trabajos de mejora en portón entrada superior. Sustitución de sección 
cremallera pvc en mal estado por cremallera y soportes de acero. Instalación de 
foto célula emisor receptor inalámbrica, conexiones y pruebas de 
mantenimiento.","1.009,14 €",,SISMATIC SL,,1 día,Servicio,
CONP/2024/12662,"Suministro de materiales metálicos para la protección de perales para proyectos 
de la línea 6 del Programa Agroalnext: BIODIV FRUTAL y XALDA ECO","5.517,60 €",,"SISTEMAS INTEGRALES 
CONSTRUCTIVOS SAN LORENZO 
SL",,10 días,Suministro,
CONP/2024/10316,"Suministro de estacas de castaño para el Proyecto de Investigación ""Banco de 
Semillas"" del SERIDA","1.239,04 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS 
(ASA)",,20 días,Suministro,
CONP/2024/9475,"Adquisición de material para el cultivo con cargo al Proyecto de Investigación 
862862 INCREASE","979,25 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS 
(ASA)",,1 mes,Suministro,
CONP/2024/9621,"Suministro de paja en la Finca de Villanueva del SERIDA con cargo al Programa 
de Investigación de Carne","2.926,00 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS 
(ASA)",,15 días,Suministro,
CONP/2024/11449,"Suministro de abono para fertilización de las praderas de la finca de Samielles 
con cargo al Proyecto de Investigación SYNGENTA","2.117,50 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS 
(ASA)",,15 días,Suministro,
CONP/2024/3213,Suministro de medicamentos veterinarios para los rebaños de leche y de carne,"3.300,00 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS S.L. 
(ASA)",,12 meses,Suministro,
2024 012785,"Pienso para gallinas producción h 25, conejos acabado g 25. DEVA","23,49 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014235,"Pienso para terneras recría t 1 g 25, pallets ASA. DEVA","461,67 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014231,"Pienso para gallinas producción h 25, conejos acabado g 25. DEVA","34,86 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014232,Pienso para TERNERAS RECRIA T 1 G 25 (DEVA),"221,76 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 017046,"tensor espino, arandela zincada, tornillos barraqueros, grillete recto (DEVA)","23,40 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
